Vstup,Hodnoceni z simulace,Odhad
[0.8, 0.8, 0.5],[1.0],[0.9999601734175017]
[0.8, 0.79, 0.5],[1.0],[0.9999597503235707]
[0.8, 0.78, 0.5],[1.0],[0.9999592511354883]
[0.8, 0.77, 0.5],[1.0],[0.9999586615283296]
[0.8, 0.76, 0.5],[1.0],[0.9999579639245216]
[0.8, 0.75, 0.5],[1.0],[0.9999571367513044]
[0.8, 0.74, 0.5],[1.0],[0.9999561534104703]
[0.8, 0.73, 0.5],[1.0],[0.9999549808882887]
[0.8, 0.72, 0.5],[1.0],[0.9999535778817433]
[0.8, 0.71, 0.5],[1.0],[0.9999518922530344]
[0.8, 0.7, 0.5],[1.0],[0.9999498575333735]
[0.8, 0.69, 0.5],[1.0],[0.9999473880610533]
[0.8, 0.68, 0.5],[1.0],[0.9999443721297858]
[0.8, 0.67, 0.5],[1.0],[0.9999406621963506]
[0.8, 0.66, 0.5],[1.0],[0.9999360606767387]
[0.8, 0.65, 0.5],[1.0],[0.999930299019922]
[0.8, 0.64, 0.5],[1.0],[0.9999230063681549]
[0.8, 0.63, 0.5],[1.0],[0.9999136618059229]
[0.8, 0.62, 0.5],[1.0],[0.9999015202757782]
[0.8, 0.61, 0.5],[1.0],[0.9998854954435575]
[0.8, 0.6, 0.5],[1.0],[0.9998639708090199]
[0.8, 0.59, 0.5],[1.0],[0.9998344888247188]
[0.8, 0.58, 0.5],[1.0],[0.9997932283934226]
[0.8, 0.57, 0.5],[1.0],[0.9997341077688064]
[0.8, 0.56, 0.5],[1.0],[0.9996472110289593]
[0.8, 0.55, 0.5],[1.0],[0.999515969429893]
[0.8, 0.54, 0.5],[1.0],[0.9993120095288389]
[0.8, 0.53, 0.5],[1.0],[0.9989855595640439]
[0.8, 0.52, 0.5],[1.0],[0.9984472918320326]
[0.8, 0.51, 0.5],[1.0],[0.9975335117570265]
[0.8, 0.5, 0.5],[1.0],[0.9959388654046338]
[0.8, 0.49, 0.5],[1.0],[0.9930859145465912]
[0.8, 0.48, 0.5],[1.0],[0.9878731459269562]
[0.8, 0.47, 0.5],[1.0],[0.9781908272360724]
[0.8, 0.46, 0.5],[1.0],[0.9599860929122711]
[0.8, 0.45, 0.5],[1.0],[0.9253731661530954]
[0.8, 0.44, 0.5],[1.0],[0.85841580685357]
[0.8, 0.43, 0.5],[1.0],[0.7260005500556147]
[0.8, 0.42, 0.5],[0.0],[0.4784511080651956]
[0.8, 0.41, 0.5],[0.0],[0.17437116729494004]
[0.8, 0.4, 0.5],[0.0],[0.029828167521158813]
[0.8, 0.39, 0.5],[0.0],[0.0039851658958227594]
[0.8, 0.38, 0.5],[0.0],[7.65836678908428E-4]
[0.8, 0.37, 0.5],[0.0],[2.4687576916577184E-4]
[0.8, 0.36, 0.5],[0.0],[1.1462009113976216E-4]
[0.8, 0.35, 0.5],[0.0],[6.488217335094972E-5]
[0.8, 0.34, 0.5],[0.0],[4.0371396558828964E-5]
[0.8, 0.33, 0.5],[0.0],[2.5746177565563805E-5]
[0.8, 0.32, 0.5],[0.0],[1.545717678998803E-5]
[0.8, 0.31, 0.5],[0.0],[7.424758641497327E-6]
[0.8, 0.3, 0.5],[0.0],[2.1095224867438867E-6]
[0.8, 0.29, 0.5],[0.0],[2.569353836402447E-7]
[0.8, 0.28, 0.5],[0.0],[1.6885059349284813E-8]
[0.8, 0.27, 0.5],[0.0],[1.5577182329311933E-9]
[0.8, 0.26, 0.5],[0.0],[3.5497063137814337E-10]
[0.8, 0.25, 0.5],[0.0],[1.6394201566377505E-10]
[0.8, 0.24, 0.5],[0.0],[1.0888953026074236E-10]
[0.8, 0.23, 0.5],[0.0],[8.470762789313743E-11]
[0.8, 0.22, 0.5],[0.0],[7.034477720707571E-11]
[0.8, 0.21, 0.5],[0.0],[6.001799982906142E-11]
[0.8, 0.2, 0.5],[0.0],[5.178898325238162E-11]
[0.79, 0.8, 0.5],[1.0],[0.9999611268015189]
[0.79, 0.79, 0.5],[1.0],[0.9999608717041848]
[0.79, 0.78, 0.5],[1.0],[0.999960571538373]
[0.79, 0.77, 0.5],[1.0],[0.999960218439819]
[0.79, 0.76, 0.5],[1.0],[0.9999598027716359]
[0.79, 0.75, 0.5],[1.0],[0.9999593128443423]
[0.79, 0.74, 0.5],[1.0],[0.9999587344843642]
[0.79, 0.73, 0.5],[1.0],[0.9999580504473126]
[0.79, 0.72, 0.5],[1.0],[0.9999572396431101]
[0.79, 0.71, 0.5],[1.0],[0.9999562761149549]
[0.79, 0.7, 0.5],[1.0],[0.9999551276850824]
[0.79, 0.69, 0.5],[1.0],[0.9999537541409403]
[0.79, 0.68, 0.5],[1.0],[0.999952104778454]
[0.79, 0.67, 0.5],[1.0],[0.9999501150342203]
[0.79, 0.66, 0.5],[1.0],[0.9999477018097503]
[0.79, 0.65, 0.5],[1.0],[0.999944756892539]
[0.79, 0.64, 0.5],[1.0],[0.9999411375685695]
[0.79, 0.63, 0.5],[1.0],[0.9999366530282786]
[0.79, 0.62, 0.5],[1.0],[0.9999310443732136]
[0.79, 0.61, 0.5],[1.0],[0.9999239547268637]
[0.79, 0.6, 0.5],[1.0],[0.9999148837775793]
[0.79, 0.59, 0.5],[1.0],[0.9999031173865115]
[0.79, 0.58, 0.5],[1.0],[0.9998876165031821]
[0.79, 0.57, 0.5],[1.0],[0.9998668383731746]
[0.79, 0.56, 0.5],[1.0],[0.9998384428130577]
[0.79, 0.55, 0.5],[1.0],[0.9997987993579495]
[0.79, 0.54, 0.5],[1.0],[0.9997421421622047]
[0.79, 0.53, 0.5],[1.0],[0.9996590885501174]
[0.79, 0.52, 0.5],[1.0],[0.9995339832078365]
[0.79, 0.51, 0.5],[1.0],[0.9993400268172641]
[0.79, 0.5, 0.5],[1.0],[0.9990301221239712]
[0.79, 0.49, 0.5],[1.0],[0.9985191878005274]
[0.79, 0.48, 0.5],[1.0],[0.9976486973890374]
[0.79, 0.47, 0.5],[1.0],[0.9961113107122955]
[0.79, 0.46, 0.5],[1.0],[0.993273902087466]
[0.79, 0.45, 0.5],[1.0],[0.9876896631905973]
[0.79, 0.44, 0.5],[0.0],[0.9754307396381018]
[0.79, 0.43, 0.5],[0.0],[0.9429671195589511]
[0.79, 0.42, 0.5],[0.0],[0.8332581768186468]
